dossiernr,sector_code,probability,predictor_id
7c0a54ae64e739ab70fc8d1e1ec7ec694a34555f,5912,0.521013,7
d8ecf69de8456c6233f55d5b42c35a11ef519ca6,70222,0.767593,7
d8ecf69de8456c6233f55d5b42c35a11ef519ca6,78202,0.65775,7
d8ecf69de8456c6233f55d5b42c35a11ef519ca6,6209,0.623536,7
cbe1c7aa993e4bc52afaf7c9e524094bc133b98c,47918,0.633334,7
cbe1c7aa993e4bc52afaf7c9e524094bc133b98c,47919,0.620782,7
cbe1c7aa993e4bc52afaf7c9e524094bc133b98c,47911,0.609838,7
cbe1c7aa993e4bc52afaf7c9e524094bc133b98c,47915,0.585956,7
cbe1c7aa993e4bc52afaf7c9e524094bc133b98c,47912,0.582161,7
952ab28b08ac3ae8ebc4fccd20f36b1936e8f841,85599,0.592055,7
015cd11cbb387699dc37e81384dec5d96daec5bf,70221,0.609223,7
015cd11cbb387699dc37e81384dec5d96daec5bf,70222,0.604974,7
26848bf199df88956d95d34a0f2dfea13ee9de50,9003,0.953139,7
25e90ec90e0f750a3d04a682c74c16671aabffd6,6203,0.743775,7
25e90ec90e0f750a3d04a682c74c16671aabffd6,6202,0.725344,7
25e90ec90e0f750a3d04a682c74c16671aabffd6,6209,0.700505,7
25e90ec90e0f750a3d04a682c74c16671aabffd6,6201,0.667513,7
25e90ec90e0f750a3d04a682c74c16671aabffd6,74102,0.656914,7
956ed5cbf1989dc788f656a6b20e39aa0bcc0a6c,69102,0.821634,7
956ed5cbf1989dc788f656a6b20e39aa0bcc0a6c,70221,0.718747,7
956ed5cbf1989dc788f656a6b20e39aa0bcc0a6c,70222,0.559456,7
7f1f5b8c42657ccf81cd1be805d4477f3d12fc8a,5629,0.980099,7
24b3ab76788f7825b83a8d5fda71fd0513492e6c,7911,0.521949,7
83dcd0f40a50050f23cdcea0b30eb62853fe466f,70222,0.763639,7
83dcd0f40a50050f23cdcea0b30eb62853fe466f,70221,0.714269,7
1cd5aa8cdba8b5a7618574d2c674dbf692bcea96,9003,0.571379,7
9d8e715e1719f9d132bebd4ea9ccd4443ac59000,70221,0.733273,7
9d8e715e1719f9d132bebd4ea9ccd4443ac59000,85592,0.720937,7
9d8e715e1719f9d132bebd4ea9ccd4443ac59000,70222,0.659163,7
b0a79f26d407a06b30473bcd21b9429bf1e71ce7,85519,0.506123,7
8d0ed9dfa42f809346b17df2a08ca8c76f69d466,88991,0.564412,7
8d0ed9dfa42f809346b17df2a08ca8c76f69d466,85599,0.536879,7
61c77d43e3c9aed51d576988be3fce530b867255,3012,0.592876,7
9b4f15f419d3ec04963f356ac09a3b4df7f9bbed,69204,0.791454,7
9b4f15f419d3ec04963f356ac09a3b4df7f9bbed,66193,0.773728,7
9b4f15f419d3ec04963f356ac09a3b4df7f9bbed,69203,0.508385,7
35410ca228ad2d2c6edd1e1fd4e8719c54fe1c4c,46473,0.968377,7
35410ca228ad2d2c6edd1e1fd4e8719c54fe1c4c,47915,0.882467,7
35410ca228ad2d2c6edd1e1fd4e8719c54fe1c4c,2740,0.697573,7
35410ca228ad2d2c6edd1e1fd4e8719c54fe1c4c,47918,0.535869,7
35410ca228ad2d2c6edd1e1fd4e8719c54fe1c4c,47591,0.527523,7
22c629e86640cbcc90d66c0abda9ce42dcd383e7,70221,0.627659,7
22c629e86640cbcc90d66c0abda9ce42dcd383e7,6209,0.530774,7
f740f86fead4f3f1ba0908d9533e80e1fbb9e18d,46694,0.727875,7
f740f86fead4f3f1ba0908d9533e80e1fbb9e18d,46722,0.719519,7
f740f86fead4f3f1ba0908d9533e80e1fbb9e18d,46723,0.546647,7
f740f86fead4f3f1ba0908d9533e80e1fbb9e18d,46741,0.54241,7
f740f86fead4f3f1ba0908d9533e80e1fbb9e18d,46699,0.513764,7
57f2af407e20a2466674e132478884f631f1bcf6,47918,0.743748,7
57f2af407e20a2466674e132478884f631f1bcf6,47919,0.642878,7
57f2af407e20a2466674e132478884f631f1bcf6,46429,0.561324,7
57f2af407e20a2466674e132478884f631f1bcf6,47789,0.555323,7
a6286c19480677d5124ddb6163f5eaf3005f5369,81229,0.652409,7
b33e816da18602d15ecafa5ab09a2fad1e0a7383,4120,0.797429,7
b33e816da18602d15ecafa5ab09a2fad1e0a7383,4333,0.772292,7
b33e816da18602d15ecafa5ab09a2fad1e0a7383,43221,0.59248,7
b33e816da18602d15ecafa5ab09a2fad1e0a7383,4332,0.500201,7
b8efc30aafdb0f818460b2f6bb0cbabd019455f3,6831,0.640768,7
b8efc30aafdb0f818460b2f6bb0cbabd019455f3,69204,0.578542,7
dd20b079108ca4a65c81ac96fb5066e65be498f0,9002,0.622756,7
dd20b079108ca4a65c81ac96fb5066e65be498f0,90013,0.620715,7
dd20b079108ca4a65c81ac96fb5066e65be498f0,90011,0.546183,7
cebc2bddddd4fb12c6d29ee34c0acaf311e181ee,90013,0.505469,7
8643449429515b4b5599653e83828195243ea274,53202,0.608994,7
43c55e22715852ae964f63163b626731bcce2a13,85519,0.737241,7
54fc8d9d850ea60a1e2e47be57e23df98b5c7f58,9003,0.749187,7
5557d9ca5a8b05647160531c928986414906c796,85591,0.659616,7
6b65309260e0333f5341b88b32135bbe9145af8f,86913,0.797007,7
6b65309260e0333f5341b88b32135bbe9145af8f,86919,0.618284,7
6b65309260e0333f5341b88b32135bbe9145af8f,85599,0.612761,7
6b65309260e0333f5341b88b32135bbe9145af8f,70222,0.58764,7
b0ecbcc70885c343aae0c61b0db41a452a7ada7c,6202,0.666844,7
b0ecbcc70885c343aae0c61b0db41a452a7ada7c,6209,0.665369,7
61f8172685510b57d72dda78a52e9bb326604791,96022,0.92059,7
61f8172685510b57d72dda78a52e9bb326604791,86912,0.500838,7
1164aeb3b6bb68b81df5c76fa65fba32e3d8ac14,85599,0.7265,7
1164aeb3b6bb68b81df5c76fa65fba32e3d8ac14,85592,0.630885,7
1164aeb3b6bb68b81df5c76fa65fba32e3d8ac14,86913,0.574967,7
f03c34b61b2ed7a6e59f30995a22a2b8e79fe300,56102,0.555223,7
a3d869aa32613804c660f6c8d74ca77e167a547e,46383,0.622747,7
a3d869aa32613804c660f6c8d74ca77e167a547e,4639,0.552863,7
2c7914128e829443e7fb09401abbb541becddf3a,69204,0.815885,7
2c7914128e829443e7fb09401abbb541becddf3a,66193,0.552745,7
2c7914128e829443e7fb09401abbb541becddf3a,69209,0.545285,7
2c7914128e829443e7fb09401abbb541becddf3a,6612,0.541007,7
2c7914128e829443e7fb09401abbb541becddf3a,69202,0.527436,7
27d7c87ab9b3d2d0b546012db83f56f71c8d197c,46425,0.944442,7
27d7c87ab9b3d2d0b546012db83f56f71c8d197c,47717,0.93004,7
27d7c87ab9b3d2d0b546012db83f56f71c8d197c,47722,0.890166,7
27d7c87ab9b3d2d0b546012db83f56f71c8d197c,47899,0.823132,7
27d7c87ab9b3d2d0b546012db83f56f71c8d197c,4782,0.801131,7
c017ce7dcb578a5c15323ba490223d83a0ae911f,71112,0.667291,7
4f0a6aa119a86b7a1bba4ed765b1898b2f1c0ee4,69101,0.997949,7
83a5b27bb1f43f3b188d073953dd81afe4b103db,49391,0.606993,7
f54d85a93fd4c54bf5046981f739365888146836,2229,0.548658,7
e8af37497ada784a428b39477a14e225d4ff586a,86919,0.684463,7
19a2af0afdf720c62bef9d92a602c75d75c32685,47919,0.618245,7
19a2af0afdf720c62bef9d92a602c75d75c32685,47915,0.583734,7
19a2af0afdf720c62bef9d92a602c75d75c32685,47912,0.567291,7
19a2af0afdf720c62bef9d92a602c75d75c32685,47918,0.550376,7
19a2af0afdf720c62bef9d92a602c75d75c32685,47914,0.538883,7
314d3e069781468531043058b198b4ffee56924e,85599,0.841175,7
314d3e069781468531043058b198b4ffee56924e,86922,0.765023,7
314d3e069781468531043058b198b4ffee56924e,85592,0.671031,7
314d3e069781468531043058b198b4ffee56924e,86913,0.663084,7
314d3e069781468531043058b198b4ffee56924e,86923,0.622397,7
661c09ed621917c864ea026d0b187098c9a5f583,96022,0.60779,7
3cd9e64b1faee23bf021880978cba2457012324f,451,0.961277,7
3cd9e64b1faee23bf021880978cba2457012324f,45402,0.917655,7
3cd9e64b1faee23bf021880978cba2457012324f,47641,0.846656,7
3cd9e64b1faee23bf021880978cba2457012324f,45311,0.696756,7
3cd9e64b1faee23bf021880978cba2457012324f,47642,0.628343,7
deee85c7975fcad109711f598d4475762a534fbd,70222,0.624908,7
deee85c7975fcad109711f598d4475762a534fbd,7021,0.538162,7
1e0afd5383bdebe78f0d2d5f8cd22d3cd87a8d67,70222,0.716049,7
8a74038ca47608ac84b375ca07a9f1d7374cc9fc,81221,0.949262,7
f7d642ed60aefcfb340a2664972e937c53cb2147,4941,0.775065,7
f7d642ed60aefcfb340a2664972e937c53cb2147,52291,0.705413,7
f7d642ed60aefcfb340a2664972e937c53cb2147,5221,0.546293,7
f7d642ed60aefcfb340a2664972e937c53cb2147,52109,0.516785,7
fedbb6c96892446c5ace35443464a7ab497f1c23,88101,0.764631,7
fedbb6c96892446c5ace35443464a7ab497f1c23,86929,0.579072,7
fedbb6c96892446c5ace35443464a7ab497f1c23,86911,0.528923,7
86af69cc88a50aa52d5c6ea8ac380e9118547faa,47918,0.521708,7
86af69cc88a50aa52d5c6ea8ac380e9118547faa,47914,0.511141,7
98fa7c6cdcf01f23fb152cb6f1031da8bf297d34,70221,0.53612,7
98fa7c6cdcf01f23fb152cb6f1031da8bf297d34,7021,0.525785,7
98fa7c6cdcf01f23fb152cb6f1031da8bf297d34,70222,0.502347,7
a573d7a0570bbbc3e209e410762fda65f5ab9608,6209,0.787146,7
a573d7a0570bbbc3e209e410762fda65f5ab9608,6202,0.777875,7
5a9f1a2b5178c54f178bb67382638a7556bead25,47914,0.711187,7
5a9f1a2b5178c54f178bb67382638a7556bead25,47919,0.690972,7
5a9f1a2b5178c54f178bb67382638a7556bead25,47915,0.676742,7
5a9f1a2b5178c54f178bb67382638a7556bead25,47899,0.583245,7
5a9f1a2b5178c54f178bb67382638a7556bead25,47918,0.574372,7
8638e1a712f30c328d370fe932ee452c3c73341b,47641,0.591836,7
9cc6adfdc34233afd2e678c51848e06167787a4e,70221,0.53612,7
9cc6adfdc34233afd2e678c51848e06167787a4e,7021,0.525785,7
9cc6adfdc34233afd2e678c51848e06167787a4e,70222,0.502347,7
3e478731c3a2495d432a9bbe9e8db4c61d6dcacc,69102,0.807981,7
3e478731c3a2495d432a9bbe9e8db4c61d6dcacc,85592,0.511098,7
3e478731c3a2495d432a9bbe9e8db4c61d6dcacc,70222,0.506321,7
fc5752653d942c78b68d44a50aa7e7634c026e37,47911,0.87959,7
fc5752653d942c78b68d44a50aa7e7634c026e37,4637,0.804629,7
fc5752653d942c78b68d44a50aa7e7634c026e37,47919,0.644994,7
fc5752653d942c78b68d44a50aa7e7634c026e37,46383,0.613453,7
ec38178c31e48c23ad4361a06c5dd209aad5f53f,70221,0.918501,7
ec38178c31e48c23ad4361a06c5dd209aad5f53f,7810,0.797249,7
ec38178c31e48c23ad4361a06c5dd209aad5f53f,70222,0.721182,7
499dbb91022f8321538369fbdf0dd90d00ad1fc8,6209,0.743065,7
499dbb91022f8321538369fbdf0dd90d00ad1fc8,6202,0.71053,7
499dbb91022f8321538369fbdf0dd90d00ad1fc8,78202,0.602812,7
499dbb91022f8321538369fbdf0dd90d00ad1fc8,70222,0.599861,7
7e05052daab9f5406116b9cb2d91a62c8050ba89,4725,0.881543,7
7609b109bcefc86d773974a0628973e3ff32e1c3,47916,0.63889,7
7609b109bcefc86d773974a0628973e3ff32e1c3,9003,0.552638,7
7f01701a22960c9f2cf9989787fa70cac5ef9355,85599,0.865396,7
7f01701a22960c9f2cf9989787fa70cac5ef9355,88992,0.766185,7
7f01701a22960c9f2cf9989787fa70cac5ef9355,85592,0.683703,7
7f01701a22960c9f2cf9989787fa70cac5ef9355,88999,0.645801,7
444a33e07e971b7b5657e3877c605ca2102f3660,8560,0.864725,7
444a33e07e971b7b5657e3877c605ca2102f3660,88991,0.802168,7
444a33e07e971b7b5657e3877c605ca2102f3660,86913,0.761799,7
444a33e07e971b7b5657e3877c605ca2102f3660,86919,0.535963,7
444a33e07e971b7b5657e3877c605ca2102f3660,88992,0.534397,7
021ede4acf68c7e7fc700e7d7e503f169c1692dc,6202,0.511798,7
07664696293317f74bb10226f92bc77fd091aa3d,4321,0.640164,7
07664696293317f74bb10226f92bc77fd091aa3d,4329,0.547409,7
e42db920ddaa278b0496e30f61b1536556d946c4,46429,0.852959,7
e42db920ddaa278b0496e30f61b1536556d946c4,1330,0.852512,7
e42db920ddaa278b0496e30f61b1536556d946c4,4782,0.778938,7
e42db920ddaa278b0496e30f61b1536556d946c4,47915,0.77543,7
e42db920ddaa278b0496e30f61b1536556d946c4,47789,0.756612,7
65bc4ec14f94c0966001d9ab37fac2efdebb2538,9002,0.547493,7
65bc4ec14f94c0966001d9ab37fac2efdebb2538,9003,0.524356,7
ea454b8e35bb9b0fc8fed25564b471ae0bcb16e1,70222,0.702149,7
ea454b8e35bb9b0fc8fed25564b471ae0bcb16e1,85592,0.629135,7
ae72baef1c404892f784ff39048e6258a3522f22,47918,0.688673,7
ae72baef1c404892f784ff39048e6258a3522f22,47919,0.65756,7
196497f3429d4610cb52b34f42464a244923443a,70222,0.835261,7
5f6427af6eaccc6602c374205b4fd24b1ca73bfd,5621,0.820696,7
5f6427af6eaccc6602c374205b4fd24b1ca73bfd,56102,0.748858,7
5f6427af6eaccc6602c374205b4fd24b1ca73bfd,47292,0.682616,7
5f6427af6eaccc6602c374205b4fd24b1ca73bfd,46383,0.622334,7
5f6427af6eaccc6602c374205b4fd24b1ca73bfd,47299,0.612252,7
045aae6660dcc9a3a6fd6af01c4f44ecc53fb561,9522,0.923386,7
045aae6660dcc9a3a6fd6af01c4f44ecc53fb561,47432,0.778319,7
045aae6660dcc9a3a6fd6af01c4f44ecc53fb561,47544,0.557972,7
045aae6660dcc9a3a6fd6af01c4f44ecc53fb561,9521,0.546134,7
045aae6660dcc9a3a6fd6af01c4f44ecc53fb561,46431,0.511971,7
483f08e348e21085735140389d952f931857ab3c,46693,0.699263,7
483f08e348e21085735140389d952f931857ab3c,46694,0.672151,7
483f08e348e21085735140389d952f931857ab3c,46699,0.514867,7
54a76feecae17e6e3b77f3eac045a88a545603c6,90012,0.674914,7
54a76feecae17e6e3b77f3eac045a88a545603c6,9002,0.551059,7
e9914fd8fdfc0ea24bc997e2cfaad053ad48074c,47717,0.976333,7
e9914fd8fdfc0ea24bc997e2cfaad053ad48074c,47722,0.922138,7
