mutation_year,mutation_week,company_id,branch_id,SBIHOOFDACT,SBINEVENACT1,SBINEVENACT2
2023,13,35261c672fd016280bc4ed9cad13bbba6619b862,2688c101daa8b4ad5ab14b4210dc9e66a5a64180,7490,,
2021,16,b4627420c08102122a2879639f3256306283439e,2c10978b7a4699a18c1711fd6bf8b6f28044d036,6420,,
2021,18,b4627420c08102122a2879639f3256306283439e,2c10978b7a4699a18c1711fd6bf8b6f28044d036,6420,,
2021,43,b4627420c08102122a2879639f3256306283439e,2c10978b7a4699a18c1711fd6bf8b6f28044d036,6420,,
2021,48,b4627420c08102122a2879639f3256306283439e,2c10978b7a4699a18c1711fd6bf8b6f28044d036,6420,,
2023,01,b5c4ee7fcb6c203681474b6ffe3a4ad3b5755313,94de86d1f6d252e178d333f09314b6627ed6036c,47999,,
2021,07,19af600f536b94f0808ce9ecffd8ac5cd63102fe,6da23a18297a69782d543d5743233a08971c5eea,70102,,
2022,03,19af600f536b94f0808ce9ecffd8ac5cd63102fe,6da23a18297a69782d543d5743233a08971c5eea,70102,,
2022,43,19af600f536b94f0808ce9ecffd8ac5cd63102fe,6da23a18297a69782d543d5743233a08971c5eea,70102,,
2022,48,19af600f536b94f0808ce9ecffd8ac5cd63102fe,6da23a18297a69782d543d5743233a08971c5eea,70102,,
2022,11,fdc47fe396d4fe5ee748ed0ee1e8dc1bfc23cb1b,8b29cb83be4d798a4c3d4d55bf956f5565607a5a,0161,01411,
2023,07,fdc47fe396d4fe5ee748ed0ee1e8dc1bfc23cb1b,8b29cb83be4d798a4c3d4d55bf956f5565607a5a,0161,01411,
2021,46,1d8d73a9df09b1bac2a5fa07e13ad6bc2a4a3612,a0d540cfbd6ffa6253d31c50344758733321e8ae,5222,46699,7112
2022,52,1d8d73a9df09b1bac2a5fa07e13ad6bc2a4a3612,a0d540cfbd6ffa6253d31c50344758733321e8ae,5222,46699,7112
2022,02,e7e1097875e9f6318d56a91cbe94eda69442ab8d,c4cdc8d895c107be2aa59c076a3e2ec9dc67dcab,46699,,
2023,13,e7e1097875e9f6318d56a91cbe94eda69442ab8d,c4cdc8d895c107be2aa59c076a3e2ec9dc67dcab,46699,,
2021,39,025a72f28e8dc14c90db1c397c3c8979bd6e18fa,d5086b761de38e70cdfc7802e915c3217bba8b70,2562,2561,
2022,39,025a72f28e8dc14c90db1c397c3c8979bd6e18fa,d5086b761de38e70cdfc7802e915c3217bba8b70,2562,2561,
2021,02,2c50647c87476b61d8bf93ed06c6f80099796684,a861a909b2b14c4230f70d7120ef9093ca9e5314,8010,85592,70221
2021,02,d334273d27884589700838cc9d4f8c05b50280bc,baf737e2fdceac80075fff12e198831aff6c873c,3220,46495,
2021,08,d334273d27884589700838cc9d4f8c05b50280bc,baf737e2fdceac80075fff12e198831aff6c873c,3220,46495,
2022,11,99f6f7d6a8af7b79ed61526864d12dc740eb2729,32efe8822c825a2d683781159346910cfe25697c,53202,,
2021,33,10a8e63e8eaa8d97b086ce032499bdb938d970e3,3485d5f96f105c8cda29ad8cc1318f63c0fb03c9,8553,,
2022,24,f60b65efb30b478eeffbb595c1bd119ee88ff638,bbe29df54a613ff2f9b2868c83b1caa85a996ce8,6831,4110,
2021,04,22f5063a890a595e6b10fe915e3e026457c977f5,88c8e16a909aa213d35ee970c98dcf4015076585,70102,,
