code,descr_short_nl,descr_short_en,status
2391,"Verv. schuur-, slijp- en polijstmiddelen",Production of abrasive products,1
2399,Verv. overige niet-metaalh. minerale pr.,Manuf. of other non-metallic mineral products (no abrasive prod.),1
24,Verv. metalen in primaire vorm,Manufacture of basic metals,1
241,Verv. ijzer/staal/ferrolegeringen,Manufacture of basic iron and steel and of ferro-alloys,1
2410,"Verv. ijzer, staal en ferrolegeringen",Manufacture of basic iron and steel and of ferro-alloys,1
242,Verv. stalen buizen/holle profielen e.d.,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",1
2420,"Verv. stalen buizen, pijpen e.d.","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",1
243,Overige eerste verwerking van staal,Manufacture of other products of first processing of steel,1
2431,Koudtrekken van staven,Cold drawing of bars,1
2432,Koudwalsen van bandstaal,Cold rolling of narrow strip,1
2433,Koudvervormen en koudfelsen,Cold forming or folding,1
2434,Koudtrekken van draad,Cold drawing of wire,1
244,Verv. edelmetalen en overige non-ferrom.,Manufacture of basic precious and other non-ferrous metals,1
2441,Vervaardiging van edelmetalen,Precious metals production,1
2442,Vervaardiging van aluminium,Aluminium production,1
2443,"Vervaardiging van lood, zink en tin","Lead, zinc and tin production",1
2444,Vervaardiging van koper,Copper production,1
2445,Verv. overige non-ferrometalen,Other non-ferrous metal production,1
2446,Smelten en raffineren van uranium,Processing of nuclear fuel,1
245,Gieten van metalen,Casting of metals,1
2451,Gieten van ijzer,Casting of iron,1
24510,Gieten van ijzer,Casting of iron,1
245101,Vervaardiging van gietijzeren buizen,Manufacture of cast iron pipes,1
245102,Gieten van ijzer,Manufacture of chain and springs,1
2452,Gieten van staal,Casting of steel,1
2453,Gieten van lichte metalen,Casting of light metals,1
2454,Gieten van overige non-ferrometalen,Casting of other non-ferrous metals,1
25,Verv. prod. van metaal (geen mach./app.),"Manufacture of fabricated metal products, except machinery and equipment",1
251,Verv. metalen producten voor de bouw,Manufacture of structural metal products,1
2511,Verv. metalen constr.werken/delen ervan,Manufacture of metal structures and parts of structures,1
2512,Verv. metalen deuren/vensters/kozijnen,Manufacture of doors and windows of metal,1
252,Verv. reservoirs van metaal e.d.,"Manufacture of tanks, reservoirs and containers of metal",1
2521,Verv. ketels/radiatoren voor centr.verw.,Manufacture of central heating radiators and boilers,1
2529,Verv. metalen tanks en reservoirs,"Manufacture of other tanks, reservoirs and containers of metal",1
253,Verv. stoomketels (geen ketels voor cv),"Manufacture of steam generators, except central heating hot water boilers",1
2530,Verv. stoomketels (niet voor centr.verw),"Manufacture of steam generators, except central heating hot water boilers",1
254,Vervaardiging van wapens en munitie,Manufacture of weapons and ammunition,1
2540,Vervaardiging van wapens en munitie,Manufacture of weapons and ammunition,1
255,Smeden/persen/stampen/profielwalsen e.d.,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",1
2550,Smeden/persen/stampen/profielwalsen e.d.,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",1
256,Oppervlaktebeh. en bekleding van metaal,Treatment and coating of metals; machining,1
2561,Oppervlaktebeh. en bekleding van metaal,Treatment and coating of metals,1
2562,Algemene metaalbewerking,Machining,1
257,Verv. bestek/ger.sch./hang-/sluitwerk,"Manufacture of cutlery, tools and general hardware",1
2571,"Verv. scharen, messen en bestek",Manufacture of cutlery,1
2572,Vervaardiging van hang- en sluitwerk,Manufacture of locks and hinges,1
2573,Vervaardiging van gereedschap,Manufacture of tools,1
259,Verv. overige producten van metaal,Manufacture of other fabricated metal products,1
2591,Vervaardiging van stalen vaten e.d.,Manufacture of steel drums and similar containers,1
2592,Verv. verpakkingsmid. van licht metaal,Manufacture of light metal packaging,1
2593,Verv. art. van draad/kettingen/veren,"Manufacture of wire products, chain and springs",1
25930,Vervaardiging van artikelen van draad en van kettingen en veren,"Manufacture of wire products, chain and springs",1
259301,Vervaardiging van artikelen van draad,Manufacture of wire products,1
259302,Vervaardiging van kettingen en veren,Manufacture of chains and springs,1
2594,"Verv. bouten, schroeven en moeren",Manufacture of fasteners and screw machine products,1
2599,Verv. overige producten van metaal neg.,Manufacture of other fabricated metal products n.e.c.,1
26,Verv. computers en elektr./opt. app.,"Manufacture of computer, electronic and optical products",1
261,Verv. elektronische comp. en printplaten,Manufacture of electronic components and boards,1
2611,Verv. elektronische componenten,Manufacture of electronic components,1
26110,Vervaardiging van elektronische componenten,Manufacture of electronic components,1
261101,"Verv. elekt. smoorspoelen, gelijkr. e.d.","Manufacture of electrical inductors, rectifiers and other inducers",1
261109,Verv. overige elektronische comp. n.e.g.,Manufacture of other electronic components,1
2612,Verv. elektronische printplaten,Manufacture of loaded electronic boards,1
262,Verv. computers en randapparatuur,Manufacture of computers and peripheral equipment,1
2620,Verv. computers en randapparatuur,Manufacture of computers and peripheral equipment,1
263,Vervaardiging van communicatieapparatuur,Manufacture of communication equipment,1
2630,Vervaardiging van communicatieapparatuur,Manufacture of communication equipment,1
26300,Vervaardiging van communicatieapparatuur,Manufacture of communication equipment,1
263001,Vervaardiging van alarminstallaties,Manufacture of alarm systems,1
263002,Verv. communicatieapp. (geen alarminst.),Manufacture of communication equipment (no alarm systems),1
264,Vervaardiging van consumentenelektronica,Manufacture of consumer electronics,1
2640,Vervaardiging van consumentenelektronica,Manufacture of consumer electronics,1
265,Verv. meet-/regel-/navigatieapp./uurw.,"Manufacture of instruments and appliances for measuring, testing and navigation;",1
2651,"Verv. meet-/regel-/navigatie-/contr.app,","Manufacture of instruments and appliances for measuring, testing and navigation",1
2652,Vervaardiging van uurwerken,Manufacture of watches and clocks,1
266,Verv. bestralingsapparatuur e.d.,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",1
2660,Verv. bestralingsapp./elektromed. app.,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",1
267,Verv. optische instrumenten en apparaten,Manufacture of optical instruments and photographic equipment,1
2670,Verv. optische instrumenten en apparaten,Manufacture of optical instruments and photographic equipment,1
26700,Vervaardiging van optische instrumenten en apparatuur,Manufacture of optical instruments and photographic equipment,1
267001,Verv. optische meetinstrumenten,Manufacture of optical instruments,1
267002,Verv. optische/fotografische instr./app.,Man. of optical/photographic instrum./equipm. (no measuring),1
268,Vervaardiging van informatiedragers,Manufacture of magnetic and optical media,1
2680,Vervaardiging van informatiedragers,Manufacture of magnetic and optical media,1
27,Vervaardiging van elektrische apparatuur,Manufacture of electrical equipment,1
271,Verv. elektromotoren/-generatoren e.d.,"Manufacture of electric motors, generators, transformers and electricity distrib",1
2711,Verv. elektromotoren/generatoren/transf.,"Manufacture of electric motors, generators and transformers",1
2712,Verv. schakel- en verdeelinrichtingen,Manufacture of electricity distribution and control apparatus,1
272,Verv. batterijen en accumulatoren,Manufacture of batteries and accumulators,1
2720,Verv. batterijen en accumulatoren,Manufacture of batteries and accumulators,1
273,Verv. elektr(on)ische schakelmateriaal,Manufacture of wiring and wiring devices,1
2731,Verv. kabels van optische vezels,Manufacture of fibre optic cables,1
27310,Vervaardiging van kabels van optische vezels,Manufacture of fibre optic cables,1
273101,Vervaardiging van optische vezels,Manufacture of optical fiber,1
273102,Verv. kabels van optische vezels,Manufacture of fibre optic cables,1
2732,Verv. overige elektr(on)ische kabel,Manufacture of other electronic and electric wires and cables,1
2733,Verv. schakelaars/stekkers/stopcontacten,Manufacture of wiring devices,1
274,Verv. elektr. lampen en verlichtingsapp.,Manufacture of electric lighting equipment,1
2740,Verv. elektr. lampen en verlichtingsapp.,Manufacture of electric lighting equipment,1
275,Vervaardiging van huishoudapparaten,Manufacture of domestic appliances,1
2751,Verv. elektrische huishoudapparaten,Manufacture of electric domestic appliances,1
2752,Verv. niet-elektrische huishoudapparaten,Manufacture of non-electric domestic appliances,1
279,Verv. overige elektrische apparatuur,Manufacture of other electrical equipment,1
2790,Verv. overige elektrische apparatuur,Manufacture of other electrical equipment,1
28,Verv. overige machines en apparaten,Manufacture of machinery and equipment n.e.c.,1
281,Verv. motoren/turbines/pompen e.d.,Manufacture of general — purpose machinery,1
2811,Verv. motoren/turbines(niet voor voert.),"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",1
28110,"Vervaardiging van motoren en turbines (geen motoren voor vliegtuigen, motorvoert","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",1
281101,Vervaardiging van windturbines,Manufacture of wind turbines,1
281102,Verv. motoren/turbines(niet voor voert.),"Man. of engines/turbines (not for aircraft, motor vehicles, no wind turb.)",1
2812,Verv. hydraulische apparatuur,Manufacture of fluid power equipment,1
2813,Verv. niet-hydraulische pompen en compr.,Manufacture of other pumps and compressors,1
2814,Vervaardiging van appendages,Manufacture of other taps and valves,1
2815,"Verv. tandwielen, lagers en ov. drijfw.","Manufacture of bearings, gears, gearing and driving elements",1
282,Verv. ov. machines/apparaten alg. gebr.,Manufacture of other general-purpose machinery,1
2821,Verv. industriële ovens en branders,"Manufacture of ovens, furnaces and furnace burners",1
2822,"Verv. hijs-, hef- en transportwerktuigen",Manufacture of lifting and handling equipment,1
2823,Verv. kantoormachines en -apparatuur,Manufacture of office machinery and equipment (except computers and peripheral e,1
2824,Verv. pneumatisch en elektrisch handger.,Manufacture of power-driven hand tools,1
2825,Verv. apparaten industriële koeltechniek,Manufacture of non-domestic cooling and ventilation equipment,1
2829,Verv. ov. machines/apparaten alg.gebruik,Manufacture of other general-purpose machinery n.e.c.,1
283,Verv. mach./werktuigen land- en bosbouw,Manufacture of agricultural and forestry machinery,1
2830,Verv. mach./werktuigen land- en bosbouw,Manufacture of agricultural and forestry machinery,1
28300,Vervaardiging van machines en werktuigen voor de land- en bosbouw,Manufacture of agricultural and forestry machinery,1
283001,Vervaardiging van landbouwtractoren,Manufacture of agricultural tractors,1
283002,Verv. mach./werktuigen land- en bosbouw,Manufacture of machinery and equipment for agriculture and forestry (no tractors,1
284,Vervaardiging van gereedschapswerktuigen,Manufacture of metal forming machinery and machine tools,1
2841,Verv. gereedschapswerkt. metaalbewerk.,Manufacture of metal forming machinery,1
2849,Verv. gereedschapswerkt niet metaalbew.,Manufacture of other machine tools,1
289,Verv. ov. machines/apparaten spec. doel,Manufacture of other special-purpose machinery,1
2891,Verv. machines voor de metallurgie,Manufacture of machinery for metallurgy,1
2892,Verv. machines voor bouw/delfstofwinning,"Manufacture of machinery for mining, quarrying and construction",1
2893,Verv. machines prod. voedings-/genotm.,Man. of mach. for food and beverage processing,1
2894,Verv. machines prod.textiel/kleding/leer,"Manufacture of machinery for textile, apparel and leather production",1
2895,Verv. machines productie papier/karton,Manufacture of machinery for paper and paperboard production,1
2896,Verv. machines kunststof-/rubberindust.,Manufacture of plastic and rubber machinery,1
2899,Verv. ov.machines/app./werkt. specifiek,Manufacture of other special-purpose machinery n.e.c.,1
29,"Verv. auto's, aanhangwagens en opleggers","Manufacture of motor vehicles, trailers and semi-trailers",1
291,Vervaardiging van auto's,Manufacture of motor vehicles,1
2910,Vervaardiging van auto's,Manufacture of motor vehicles,1
292,Carrosseriebouw; verv. aanhangers/opleg.,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers an,1
2920,Carrosseriebouw/verv. aanhangers/oplegg.,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers an,1
29201,Carrosseriebouw,Manufacture of bodies (coachwork) for motor vehicles,1
29202,Verv. aanhangwagens en opleggers,Manufacture of trailers and semi-trailers,1
293,Verv. onderdelen/toebehoren voor auto's,Manufacture of parts and accessories for motor vehicles,1
2931,Verv. elektr(on)ische onderdelen auto's,Manufacture of electrical and electronic equipment for motor vehicles,1
2932,Verv. niet-elektr(on)ische auto-onderd.,Manufacture of other parts and accessories for motor vehicles,1
29320,Vervaardiging van niet-elektrische en -elektronische  onderdelen en toebehoren v,Manufacture of other parts and accessories for motor vehicles,1
293201,Vervaardiging van autostoelen,Manufacture of car seats,1
293202,Verv. onderd./accesoires voor auto's,Manufacture of parts and accessories for cars (no electrical or electronic and n,1
30,Verv. overige transportmiddelen,Manufacture of other transport equipment,1
301,Scheepsbouw,Building of ships and boats,1
3011,Bouw van schepen en drijvend materieel,Building of ships and floating structures,1
3012,Bouw van sport- en recreatievaartuigen,Building of pleasure and sporting boats,1
302,Verv. rollend spoor- en tramwegmaterieel,Manufacture of railway locomotives and rolling stock,1
3020,Verv. rollend spoor- en tramwegmaterieel,Manufacture of railway locomotives and rolling stock,1
303,Verv. vliegtuigen en onderdelen daarvoor,Manufacture of air and spacecraft and related machinery,1
3030,Verv. vliegtuigen en onderdelen daarvoor,Manufacture of air and spacecraft and related machinery,1
30300,Vervaardiging van vliegtuigen en onderdelen daarvoor,Manufacture of air and spacecraft and related machinery,1
303001,Vervaardiging van vliegtuigstoelen,Manufacture of airplane seats,1
303002,Verv. vliegtuigen/onderdelen daarvoor,Manufacture of aircraft and components (no seats),1
304,Verv. militaire gevechtsvoertuigen,Manufacture of military fighting vehicles,1
3040,Verv. militaire gevechtsvoertuigen,Manufacture of military fighting vehicles,1
309,Verv. transportmiddelen n.e.g.,Manufacture of transport equipment n.e.c.,1
3091,Vervaardiging van motor- en bromfietsen,Manufacture of motorcycles,1
30910,Vervaardiging van motor- en bromfietsen,Manufacture of motorcycles,1
309101,Vervaardiging van motor- en bromfietsen,Manufacture of motorcycles,1
309102,Verv. motoren voor motor- en bromfietsen,Manufacture of engines for motorcycle and moped,1
3092,Verv. fietsen en invalidenwagens,Manufacture of bicycles and invalid carriages,1
30920,Vervaardiging van fietsen en invalidenwagens,Manufacture of bicycles and invalid carriages,1
309201,Vervaardiging van fietsen,Manufacture of bicycles,1
309202,Vervaardiging van invalidenwagens,Manufacture of invalid carriages,1
3099,Verv. overige transportmiddelen n.e.g.,Manufacture of other transport equipment n.e.c.,1
31,Vervaardiging van meubels,Manufacture of furniture,1
310,Vervaardiging van meubels,Manufacture of furniture,1
3101,Interieurbouw en verv. bedrijfsmeubelen,Manufacture of office and shop furniture,1
31011,Interieurbouw,Interior building,1
31012,Vervaardiging van bedrijfsmeubels,Manufcature of office furniture,1
310121,Verv. stoelen voor bedrijf en kantoor,Manufcature of office seats,1
310122,Vervaardiging van bedrijfsmeubels,Manufacture of business furniture (no interior building or seats),1
3102,Vervaardiging van keukenmeubels,Manufacture of kitchen furniture,1
3103,Vervaardiging van matrassen,Manufacture of mattresses,1
3109,Vervaardiging van overige meubels,Manufacture of other furniture,1
31090,Vervaardiging van overige meubels,Manufacture of other furniture,1
310901,Verv. woon-/slaapkamer-/tuinstoelen,"Manufacture of living room chairs,  bedroom chairs and garden chairs",1
310902,Verv. woon-/slaapkamer-/tuin-/ov.meubels,Man. of living room-/bed room-/garden-  and other furniture (no chairs),1
32,Vervaardiging van overige goederen,Other manufacturing,1
321,Slaan munten/bew. edelstenen/verv. sier.,"Manufacture of jewellery, bijouterie and related articles",1
3211,Slaan van munten en medailles,Striking of coins,1
3212,Bewerken edelstenen en verv. sieraden,Man. of jewellery and related articles (no imitation),1
3213,Vervaardiging van imitatiesieraden,Manufacture of imitation jewellery and related articles,1
322,Vervaardiging van muziekinstrumenten,Manufacture of musical instruments,1
3220,Vervaardiging van muziekinstrumenten,Manufacture of musical instruments,1
323,Vervaardiging van sportartikelen,Manufacture of sports goods,1
3230,Vervaardiging van sportartikelen,Manufacture of sports goods,1
324,Vervaardiging van speelgoed en spellen,Manufacture of games and toys,1
3240,Vervaardiging van speelgoed en spellen,Manufacture of games and toys,1
325,Verv. medische instrum./hulpmiddelen,Manufacture of medical and dental instruments and supplies,1
3250,Verv. medische instr./hulpmiddelen,Manufacture of medical and dental instruments and supplies,1
32501,Tandtechnische bedrijven,Dental equipment activities,1
32502,Verv. medische instr./hulpmiddelen,Manufacture of medical instruments and supplies (not dental equipment),1
325021,Verv. brillen(glazen) en contactlenzen,"Manufacture of spectacles, glasses and contact lenses",1
325022,Vervaardiging van tand- en beencement,Manufacture of tooth and bone cement,1
325029,Verv.med.instr./orthop. en prothese-art.,Manufacture of medical instruments and orthopedic and prosthetic products,1
329,Vervaardiging van overige goederen,Manufacture of other goods n.e.c.,1
3291,Vervaardiging van borstelwaren,Manufacture of brooms and brushes,1
3299,Sociale werkvoorz./verv.ov.goederen neg.,Social work service and manufacture of other goods n.e.c.,1
32991,Sociale werkvoorziening,Social work service,1
32999,Verv. overige goederen n.e.g.,Manufacture of other goods n.e.c.,1
33,Reparatie/installatie machines en app.,Repair and installation of machinery and equipment,1
331,"Reparatie prod. van metaal, mach. en app","Repair of fabricated metal products, machinery and equipment",1
3311,Reparatie van producten van metaal,Repair of fabricated metal products,1
33110,Reparatie van producten van metaal,Repair of fabricated metal products,1
331102,Rep./onderh. stoomketels niet voor c.v.,Repair and maintenance of steam boilers (not designed for central heating),1
331103,"Rep./onderh. overige tanks, reservoirs","Repair/maint. of other tanks, reservoirs and containers of metal",1
331104,Reparatie en onderhoud van wapens,Repair and maintenance of weapons,1
3312,Reparatie en onderhoud van machines,Repair of machinery,1
33121,Rep./onderh. mach. voor algemeen gebruik,Repair and maintenance of machines for general use and machine-parts,1
331211,Rep./onderh. kantoormachines,Repair and maintenance of office machinery,1
331212,Rep./onderh. mach./app. ind.klimaattech.,Repair/maint. of mach./equipm. for ind. air cond. and refrigeration,1
331213,Rep./onderh. hijs-/hef-/transportwerkt.,Repair and maintenance of lifting and handling equipment,1
331214,Rep./onderh. ovens en branders,Repair and maintenance of furnaces and burners,1
331215,Rep./onderh. motoren en turbines,"Repair and maintenance of engines and turbines, not for aircraft, motor vehicles",1
331216,Rep./onderh. pompen en compressoren,Repair and maintenance of pumps and compressors,1
331217,"Rep./onderh. tandwielen, lagers e.d.","Repair and maintenance of gears, bearings and other driving elements",1
331219,Rep./onderh. ov. machines voor alg.gebr.,Repair and maintenance of other general purpose machinery and machine parts,1
33122,Rep./onderh. pneumatisch/elektr.gereeds.,Repair and maintenance of pneumatic and electric tools,1
331221,Rep./onderh. pneum./elektr.handgereeds.,Repair and maintenance of pneumatic and electric hand tools,1
331222,Rep./onderh.gereedschapswerkt.metaalbew.,Repair and maintenance of machine tools for metalworking,1
331223,Rep./onderh. gereedschapswerktuigen,Repair/maint. of tools for machining of materials other than metal,1
33123,Rep./onderh. machines specif.bedrijfstak,Repair and maintenance of machines for a specific industry sector,1
331231,Rep./onderh.mach./werkt. land-/bosbouw,Repair/maint. of machinery/equipment for agriculture/forestry (no tractors),1
331232,Rep./onderh. landbouwtractoren,Repair and maintenance of agricultural tractors,1
331233,Rep./onderh. mach. bouw/delfstofwinning,"Repair and maintenance of machinery for mining, quarrying and construction",1
331234,Rep./onderh.mach.prod.voedings-/genotm.,"Repair and maintenance of machinery for the production of food, beverages and to",1
331235,Rep./ond.mach.prod.textiel/kleding/leer,"Repair and maintenance of machinery for the production of textile, apparel and l",1
331236,Rep./onderh. machines prod.papier/karton,Repair and maintenance of machinery for the production of paper and paperboard,1
331237,Rep./onderh. machines voor metallurgie,Repair and maintenance of machinery for metallurgy,1
331239,Rep./ond.machines ov.specif.bedrijfstak,Repair and maintenance of machinery for other specific industries,1
3313,Rep. elektronische/optische apparatuur,Repair of electronic and optical equipment,1
33130,Reparatie van elektronische en optische apparatuur,Repair of electronic and optical equipment,1
331301,Rep./onderh. elektronische componenten,Repair and maintenance of electronic components and circuit boards,1
331302,Rep./onderh.elektr.smoorspoelen e.d.,"Repair and maintenance of electrical inductors, rectifiers and other inducers",1
331303,Rep./onderh. bestralings-/elek.med. app.,Repair/maint. of radiation equipm. and electro-medical/therapeutic apparatus,1
331304,Rep./onderh. optische apparatuur,Repair and maintenance of optical equipment,1
3314,Reparatie van elektrische apparatuur,Repair of electrical equipment,1
33140,Reparatie van elektrische apparatuur,Repair of electrical equipment,1
331401,Rep./onderh.elektromotoren/-generatoren,"Repair and maintenance of electric motors, generators and transformers",1
331402,Rep./onderh. schakel- en verdeelinricht.,Repair and maintenance of electricity distribution systems,1
331403,Rep./onderh. batterijen en accumulatoren,Repair and maintenance of batteries and accumulators,1
331404,Rep./onderh. elektr. verlichtingsbenod.,Repair and maintenance of electrical lighting equipment,1
331405,Rep./onderh. meet-/regel-/controle-app.,"Repair and maintenance services of measuring, regulating and control devices",1
3315,Reparatie en onderhoud van schepen,Repair and maintenance of ships and boats,1
33150,Reparatie en onderhoud van schepen,Repair and maintenance of ships and boats,1
331501,Rep./onderh.schepen (geen recreatiesch.),Repair and maintenance of ships (no recreational vessels),1
331502,Rep./onderh. sport-/recreatievaartuigen,Repair and maintenance of sports and recreational vessels,1
3316,Reparatie en onderhoud van vliegtuigen,Repair and maintenance of aircraft and spacecraft,1
3317,Rep./onderh. overige transportmiddelen,Repair and maintenance of other transport equipment n.e.c.,1
33170,Reparatie en onderhoud van overige  transportmiddelen n.e.g.,Repair and maintenance of other transport equipment n.e.c.,1
331701,Rep./onderh.militaire gevechtsvoertuigen,Repair and maintenance of military combat vehicles,1
331702,Rep./onderh.rollend spoor-/trammaterieel,Repair and maintenance of railway and tramway equipment,1
331703,Rep./onderh. overige transportmiddelen,Repair and maintenance of other transport,1
3319,Reparatie van overige apparatuur,Repair of other equipment,1
33190,Reparatie van overige apparatuur,Repair of other equipment,1
331901,Reparatie van netten en touw,Repair of nets and rope,1
331902,Reparatie medische instrumenten/hulpmid.,Repair of medical instruments and devices,1
332,Inst. industriële machines en apparatuur,Installation of industrial machinery and equipment,1
3320,Installatie van industriële machines en apparatuur,Installation of industrial machinery and equipment,1
3321,Installatie van ketels en tanks,Installation of kettles and tanks,1
33210,Installatie van ketels en tanks,Installation of kettles and tanks,1
332102,Inst. stoomketels (niet bedoeld voor cv),Installation of steam boilers not designed for central heating,1
332103,"Inst. overige tanks, reservoirs e.d.","Installation of other tanks, reservoirs and containers of metal",1
3322,Installatie van industriële machines,Installation of machines and machine-parts,1
33221,Inst. machines voor algemeen gebruik,Installation of machines for general use and machine-parts,1
332211,Installatie van kantoormachines,Installation of office machinery,1
332212,Inst. mach./app. voor industr.klimaatr.,Install. of mach./equipm. for industrial air conditioning/refrigeration,1
332213,"Inst. hijs-, hef- en transportwerktuigen",Installation of lifting and handling equipment,1
332214,Installatie van ovens en branders,Installation of furnaces and burners,1
332215,Installatie van motoren en turbines,"Installation of engines and turbines, not for aircraft, motor vehicles and moped",1
332216,Installatie van pompen en compressoren,Installation of pumps and compressors,1
332217,Inst. tandwielen/lagers/ov. drijwerkel.,"Installation of gears, bearings and other driving elements",1
332219,Inst. ov. mach.algemeen gebr./onderdelen,Installation of other general purpose machinery and machine parts,1
33222,Inst. pneumatisch en elektrisch gereeds.,Installation of pneumatic and electric tools,1
332221,Inst. pneum. en elektr. handgereedschap,Repair and maintenance of pneumatic and electric hand tools,1
332231,Inst. gereedschapswerktuigen metaalbew.,Repair and maintenance of machine tools for metalworking,0
332223,Inst.gereeds.werkt. niet voor metaalbew.,Repair and maintenance of machine tools for machining of materials other than me,1
33223,Inst. machines voor spec. bedrijfstak,Installation of machines for a specific industry sector,1
332231,Inst. mach./werkt. voor land-/bosbouw,Install. of mach./equipm. for agriculture/forestry (no tractors),1
332233,Inst. mach. voor delfstoffenwinning/bouw,"Installation of machinery for mining, quarrying and construction",1
332234,Inst. mach.prod.voedings-/genotmiddelen,"Installation of machinery for the production of food, beverages and tobacco",1
332235,Inst. mach. prod. textiel/kleding/leer,"Installation of machinery for the production of textile, apparel and leather",1
332236,Inst. machines productie papier/karton,Installation of machinery for the production of paper and paperboard,1
332237,Inst. machines voor de metallurgie,Installation of machinery for metallurgy,1
332239,Inst. machines ov. spec. bedrijfstakken,Installation of machinery for other specific industries,1
3323,Inst. elektronische en optische app.,Installation of electronic and optical equipment,1
33230,Installatie van elektronische en optische apparatuur,Installation of electronic and optical equipment,1
332302,"Inst. elektr.smoorspoelen, gelijkr. e.d.","Installation of electrical inductors, rectifiers and other inductors",1
332303,Inst. bestralings-/elektromedische app.,Install. of radiation equipm. and electromedical/-therapeutic equipm.,1
332304,Installatie van optische apparatuur,Installation of optical devices,1
332305,Montage best.syst. industr. prod.straten,Instalation of control systems for industrial production lines,1
3324,Installatie van elektrische apparatuur,Installation of electric equipment,1
33240,Installatie van elektrische apparatuur,Installation of electric equipment,1
332401,"Inst. elektromotoren, el. generatoren ed","Installation of electric motors, generators and transformers",1
332402,Inst. schakel- en verdeelinrichtingen,Installation of electricity distribution systems,1
332403,Inst. batterijen en accumulatoren,Installation of batteries and accumulators,1
332405,Inst. meet-/regel-/controle-apparaten,"Installation services of measuring, regulating and control devices",1
3329,Installatie van overige toebehoren,Installation of remaining accessories,1
33290,Installatie van overige toebehoren,Installation of remaining accessories,1
332902,Inst. medische instr. en hulpmiddelen,Installation of medical instruments and devices,1
,"Productie en distributie van elektriciteit, aardgas, stoom en gekoelde lucht","Electricity, gas, steam and air conditioning supply",1
35,Prod./distr./handel electr./gas/stoom ed,"Electricity, gas, steam and air conditioning supply",1
351,Prod. elektr.; transmi./distr. elec/gas,"Electric power generation, transmission and distribution",1
3511,Productie van elektriciteit,Production of electricity,1
35111,Prod.elektr.(therm./kern-/warmtekracht),"Production of electricity through thermische, core and heat power centrales",1
35112,Prod. elektriciteit door windenergie,Production of electricity through wind energy,1
35113,Prod.elektr.zonnecellen/warmtep./waterkr,"Production of electricity through sun cells, heat pump and water power",1
3512,Beh./expl transp.netten el./gas/warm w.,Transmission of electricity,1
3513,Distr. elektr./gasv.brandst. via leiding,Distribution of electricity,1
3514,Handel elektriciteit/gas via leidingen,Trade of electricity,1
352,Productie van aardgas,Manufacture of gas; distribution of gaseous fuels through mains,1
3520,Productie van aardgas,Manufacture of gas,1
3521,Productie van aardgas,Manufacture of gas,1
3522,Distributie van gasachtige brandstoffen door kranen,Distribution of gaseous fuels through mains,1
3523,Handel in gas door kranen,Trade of gas through mains,1
353,Prod./distr. van stoom en gekoelde lucht,Steam and air conditioning supply,1
3530,Prod./distr/ van stoom en gekoelde lucht,Steam and air conditioning supply,1
,Winning en distributie van water; afval- en afvalwaterbeheer en sanering,"Water suplly; sewerage, waste management and remediation activities",1
36,Winning en distributie van water,"Water collection, treatment and supply",1
360,Winning en distributie van water,"Water collection, treatment and supply",1
3600,Winning en distributie van water,"Water collection, treatment and supply",1
37,Afvalwaterinzameling en -behandeling,Sewerage,1
370,Afvalwaterinzameling en -behandeling,Sewerage,1
3700,Afvalwaterinzameling en -behandeling,Sewerage,1
38,Afvalinzameling en -behandeling,"Waste collection, treatment and disposal; materials recovery",1
381,Inzameling van afval,Waste collection,1
3811,Inzameling van onschadelijk afval,Collection of non-hazardous waste,1
3812,Inzameling van schadelijk afval,Collection of hazardous waste,1
382,Behandeling van afval,Waste treatment and disposal,1
3821,Behandeling van onschadelijk afval,Treatment and disposal of non-hazardous waste,1
3822,Behandeling van schadelijk afval,Treatment and disposal of hazardous waste,1
38220,Behandeling  van schadelijk afval,Treatment and disposal of hazardous waste,1
382201,Behandeling van kernafval,Treatment of nuclear waste,1
382202,Behan. schadelijk afval (geen kernafval),Treatment of hazardous waste (not nuclear waste),1
383,Voorbereiding tot recycling,Materials recovery,1
3831,"Sloop van schepen, witgoed, computers ed",Dismantling of wrecks,1
38310,"Sloop van schepen, witgoed, computers e.d.",Dismantling of wrecks,1
383101,Sloop van schepen,Dismantling of wrecks,1
383102,"Sloop van witgoed, computers e.d.","Dismantling of white goods, computers etc.",1
3832,Gesorteerd mater. voorber. tot recycling,Recovery of sorted materials,1
38320,Gesorteerd materiaal voorbereiden tot recycling,Recovery of sorted materials,1
383201,Voorbereiding tot recycling metaalafval,"Prep. of recycl. metal (excl. dismantling ships/cars, cons. electr. etc.)",1
383202,Voorbereiding tot recycling van afval,Preparation for recycling (no metal),1
39,Sanering en overig afvalbeheer,Remediation activities and other waste management services,1
390,Sanering en overig afvalbeheer,Remediation activities and other waste management services,1
3900,Sanering en overig afvalbeheer,Remediation activities and other waste management services,1
